Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
19/11/2024,21,0,21,21,21,0,0,0
18/11/2024,21,0,21,21,21,0,0,0
15/11/2024,21,0,21,21,21,0,0,0
14/11/2024,21,0,21,21,21,0,0,0
13/11/2024,21,0,21,21,21,0,0,0
12/11/2024,21,0,21,21,21,0,0,0
11/11/2024,21,0,21,21,21,0,0,0
08/11/2024,21,0,21,21,21,0,0,0
07/11/2024,21,0,21,21,21,0,0,0
06/11/2024,21,0,21,21,21,0,0,0
05/11/2024,21,0,21,21,21,0,0,0
04/11/2024,21,0,21,21,21,0,0,0
01/11/2024,21,0,21,21,21,0,0,0
31/10/2024,21,0,21,21,21,0,0,0
30/10/2024,21,0,21,21,21,0,0,0
29/10/2024,21,0,21,21,21,0,0,0
28/10/2024,21,0,21,21,21,0,0,0
25/10/2024,21,0,21,21,21,0,0,0
24/10/2024,21,0,21,21,21,0,0,0
23/10/2024,21,0,21,21,21,0,0,0
22/10/2024,21,0,21,21,21,0,0,0
21/10/2024,21,0,21,21,21,0,0,0
18/10/2024,21,0,21,21,21,0,0,0
17/10/2024,21,0,21,21,21,0,0,0
16/10/2024,21,0,21,21,21,0,0,0
15/10/2024,21,0,21,21,21,0,0,0
14/10/2024,21,0,21,21,21,0,0,0
11/10/2024,21,0,21,21,21,0,0,0
10/10/2024,21,0,21,21,21,0,0,0
09/10/2024,21,0,21,21,21,0,0,0
08/10/2024,21,0,21,21,21,0,0,0
07/10/2024,21,0,21,21,21,0,0,0
04/10/2024,21,0,21,21,21,0,0,0
03/10/2024,21,0,21,21,21,0,0,0
02/10/2024,21,0,21,21,21,0,0,0
01/10/2024,21,0,21,21,21,0,0,0
30/09/2024,21,0,21,21,21,0,0,0
27/09/2024,21,0,21,21,21,0,0,0
26/09/2024,21,0,21,21,21,0,0,0
25/09/2024,21,0,21,21,21,0,0,0
24/09/2024,21,0,21,21,21,0,0,0
23/09/2024,21,0,21,21,21,0,0,0
20/09/2024,21,0,21,21,21,0,0,0
19/09/2024,21,0,21,21,21,0,0,0
18/09/2024,21,0,21,21,21,0,0,0
17/09/2024,21,0,21,21,21,0,0,0
16/09/2024,21,0,21,21,21,0,0,0
13/09/2024,21,0,21,21,21,0,0,0
12/09/2024,21,0,21,21,21,0,0,0
11/09/2024,21,0,21,21,21,0,0,0
10/09/2024,21,0,21,21,21,0,0,0
09/09/2024,21,0,21,21,21,0,0,0
06/09/2024,21,0,21,21,21,0,0,0
05/09/2024,21,0,21,21,21,0,0,0
04/09/2024,21,0,21,21,21,0,0,0
30/08/2024,21,0,21,21,21,0,0,0
29/08/2024,21,0,21,21,21,0,0,0
28/08/2024,21,0,21,21,21,0,0,0
27/08/2024,21,0,21,21,21,0,0,0
26/08/2024,21,0,21,21,21,0,0,0
23/08/2024,21,0,21,21,21,0,0,0
22/08/2024,21,0,21,21,21,0,0,0
21/08/2024,21,0,21,21,21,0,0,0
20/08/2024,21,0,21,21,21,0,0,0
19/08/2024,21,0,21,21,21,0,0,0
16/08/2024,21,0,21,21,21,0,0,0
15/08/2024,21,0,21,21,21,0,0,0
14/08/2024,21,0,21,21,21,0,0,0
13/08/2024,21,0,21,21,21,0,0,0
12/08/2024,21,0,21,21,21,0,0,0
09/08/2024,21,0,21,21,21,0,0,0
08/08/2024,21,0,21,21,21,0,0,0
07/08/2024,21,0,21,21,21,0,0,0
06/08/2024,21,0,21,21,21,0,0,0
05/08/2024,21,0,21,21,21,0,0,0
02/08/2024,21,0,21,21,21,0,0,0
01/08/2024,21,0,21,21,21,0,0,0
31/07/2024,21,0,21,21,21,0,0,0
30/07/2024,21,0,21,21,21,0,0,0
29/07/2024,21,0,21,21,21,0,0,0
26/07/2024,21,0,21,21,21,0,0,0
25/07/2024,21,0,21,21,21,0,0,0
24/07/2024,21,0,21,21,21,0,0,0
23/07/2024,21,0,21,21,21,0,0,0
22/07/2024,21,0,21,21,21,0,0,0
19/07/2024,21,0,21,21,21,0,0,0
18/07/2024,21,0,21,21,21,0,0,0
17/07/2024,21,0,21,21,21,0,0,0
16/07/2024,21,0,21,21,21,0,0,0
15/07/2024,21,0,21,21,21,0,0,0
12/07/2024,21,0,21,21,21,0,0,0
11/07/2024,21,0,21,21,21,0,0,0
10/07/2024,21,0,21,21,21,0,0,0
09/07/2024,21,0,21,21,21,0,0,0
08/07/2024,21,0,21,21,21,0,0,0
05/07/2024,21,0,21,21,21,0,0,0
04/07/2024,21,0,21,21,21,0,0,0
03/07/2024,21,0,21,21,21,0,0,0
02/07/2024,21,0,21,21,21,0,0,0
01/07/2024,21,0,21,21,21,0,0,0
28/06/2024,21,0,21,21,21,0,0,0
27/06/2024,21,0,21,21,21,0,0,0
26/06/2024,21,0,21,21,21,0,0,0
25/06/2024,21,0,21,21,21,0,0,0
24/06/2024,21,0,21,21,21,0,0,0
21/06/2024,21,0,21,21,21,0,0,0
20/06/2024,21,0,21,21,21,0,0,0
19/06/2024,21,0,21,21,21,0,0,0
18/06/2024,21,0,21,21,21,0,0,0
17/06/2024,21,0,21,21,21,0,0,0
14/06/2024,21,0,21,21,21,0,0,0
13/06/2024,21,0,21,21,21,0,0,0
12/06/2024,21,0,21,21,21,0,0,0
11/06/2024,21,0,21,21,21,0,0,0
10/06/2024,21,0,21,21,21,0,0,0
07/06/2024,21,0,21,21,21,0,0,0
06/06/2024,21,0,21,21,21,0,0,0
05/06/2024,21,0,21,21,21,0,0,0
04/06/2024,21,0,21,21,21,0,0,0
03/06/2024,21,0,21,21,21,0,0,0
31/05/2024,21,0,21,21,21,0,0,0
30/05/2024,21,0,21,21,21,0,0,0
29/05/2024,21,0,21,21,21,0,0,0
28/05/2024,21,0,21,21,21,0,0,0
27/05/2024,21,0,21,21,21,0,0,0
24/05/2024,21,0,21,21,21,0,0,0
23/05/2024,21,0,21,21,21,0,0,0
22/05/2024,21,0,21,21,21,0,0,0
21/05/2024,21,0,21,21,21,0,0,0
20/05/2024,21,0,21,21,21,0,0,0
17/05/2024,21,0,21,21,21,0,0,0
16/05/2024,21,0,21,21,21,0,0,0
15/05/2024,21,0,21,21,21,0,0,0
14/05/2024,21,0,21,21,21,0,0,0
13/05/2024,21,0,21,21,21,0,0,0
10/05/2024,21,0,21,21,21,0,0,0
09/05/2024,21,0,21,21,21,0,0,0
08/05/2024,21,0,21,21,21,0,0,0
07/05/2024,21,0,21,21,21,0,0,0
06/05/2024,21,0,21,21,21,0,0,0
03/05/2024,21,0,21,21,21,0,0,0
02/05/2024,21,0,21,21,21,0,0,0
26/04/2024,21,0,21,21,21,0,0,0
25/04/2024,21,0,21,21,21,0,0,0
24/04/2024,21,0,21,21,21,0,0,0
23/04/2024,21,0,21,21,21,0,0,0
22/04/2024,21,0,21,21,21,0,0,0
19/04/2024,21,0,21,21,21,0,0,0
17/04/2024,21,0,21,21,21,0,0,0
16/04/2024,21,0,21,21,21,0,0,0
15/04/2024,21,0,21,21,21,0,0,0
12/04/2024,21,0,21,21,21,0,0,0
11/04/2024,21,0,21,21,21,0,0,0
10/04/2024,21,0,21,21,21,0,0,0
09/04/2024,21,0,21,21,21,0,0,0
21/08/2023,21,0,21,21,21,0,0,0
18/08/2023,21,0,21,21,21,0,0,0
17/08/2023,21,0,21,21,21,0,0,0
16/08/2023,21,0,21,21,21,0,0,0
15/08/2023,21,0,21,21,21,0,0,0
14/08/2023,21,0,21,21,21,0,0,0
11/08/2023,21,0,21,21,21,0,0,0
10/08/2023,21,0,21,21,21,0,0,0
09/08/2023,21,0,21,21,21,0,0,0
08/08/2023,21,0,21,21,21,0,0,0
07/08/2023,21,0,21,21,21,0,0,0
04/08/2023,21,0,21,21,21,0,0,0
03/08/2023,21,0,21,21,21,0,0,0
02/08/2023,21,0,21,21,21,0,0,0
01/08/2023,21,0,21,21,21,0,0,0
31/07/2023,21,0,21,21,21,0,0,0
28/07/2023,21,0,21,21,21,0,0,0
27/07/2023,21,0,21,21,21,0,0,0
26/07/2023,21,0,21,21,21,0,0,0
25/07/2023,21,0,21,21,21,0,0,0
24/07/2023,21,0,21,21,21,0,0,0
21/07/2023,21,0,21,21,21,0,0,0
20/07/2023,21,0,21,21,21,0,0,0
19/07/2023,21,0,21,21,21,0,0,0
18/07/2023,21,0,21,21,21,0,0,0
17/07/2023,21,0,21,21,21,0,0,0
14/07/2023,21,0,21,21,21,0,0,0
13/07/2023,21,0,21,21,21,0,0,0
12/07/2023,21,0,21,21,21,0,0,0
11/07/2023,21,0,21,21,21,0,0,0
10/07/2023,21,0,21,21,21,0,0,0
07/07/2023,21,0,21,21,21,0,0,0
06/07/2023,21,0,21,21,21,0,0,0
05/07/2023,21,0,21,21,21,0,0,0
04/07/2023,21,0,21,21,21,0,0,0
03/07/2023,21,0,21,21,21,0,0,0
30/06/2023,21,0,21,21,21,0,0,0
29/06/2023,21,0,21,21,21,0,0,0
28/06/2023,21,0,21,21,21,0,0,0
27/06/2023,21,0,21,21,21,0,0,0
26/06/2023,21,0,21,21,21,0,0,0
23/06/2023,21,0,21,21,21,0,0,0
22/06/2023,21,0,21,21,21,0,0,0
21/06/2023,21,0,21,21,21,0,0,0
20/06/2023,21,0,21,21,21,0,0,0
19/06/2023,21,0,21,21,21,0,0,0
16/06/2023,21,0,21,21,21,0,0,0
15/06/2023,21,0,21,21,21,0,0,0
14/06/2023,21,0,21,21,21,0,0,0
13/06/2023,21,0,21,21,21,0,0,0
12/06/2023,21,0,21,21,21,0,0,0
09/06/2023,21,0,21,21,21,0,0,0
08/06/2023,21,0,21,21,21,0,0,0
07/06/2023,21,0,21,21,21,0,0,0
06/06/2023,21,0,21,21,21,0,0,0
05/06/2023,21,0,21,21,21,0,0,0
02/06/2023,21,0,21,21,21,0,0,0
01/06/2023,21,0,21,21,21,0,0,0
31/05/2023,21,0,21,21,21,0,0,0
30/05/2023,21,0,21,21,21,0,0,0
29/05/2023,21,0,21,21,21,0,0,0
26/05/2023,21,0,21,21,21,0,0,0
25/05/2023,21,0,21,21,21,0,0,0
24/05/2023,21,0,21,21,21,0,0,0
23/05/2023,21,0,21,21,21,0,0,0
22/05/2023,21,0,21,21,21,0,0,0
19/05/2023,21,0,21,21,21,0,0,0
18/05/2023,21,0,21,21,21,0,0,0
17/05/2023,21,0,21,21,21,0,0,0
16/05/2023,21,0,21,21,21,0,0,0
15/05/2023,21,0,21,21,21,0,0,0
12/05/2023,21,0,21,21,21,0,0,0
11/05/2023,21,0,21,21,21,0,0,0
10/05/2023,21,0,21,21,21,0,0,0
09/05/2023,21,0,21,21,21,0,0,0
08/05/2023,21,0,21,21,21,0,0,0
05/05/2023,21,0,21,21,21,0,0,0
04/05/2023,21,0,21,21,21,0,0,0
28/04/2023,21,0,21,21,21,0,0,0
27/04/2023,21,0,21,21,21,0,0,0
26/04/2023,21,0,21,21,21,0,0,0
25/04/2023,21,0,21,21,21,0,0,0
24/04/2023,21,0,21,21,21,0,0,0
21/04/2023,21,0,21,21,21,0,0,0
20/04/2023,21,0,21,21,21,0,0,0
19/04/2023,21,0,21,21,21,0,0,0
18/04/2023,21,0,21,21,21,0,0,0
17/04/2023,21,0,21,21,21,0,0,0
14/04/2023,21,0,21,21,21,0,0,0
13/04/2023,21,0,21,21,21,0,0,0
12/04/2023,21,0,21,21,21,0,0,0
11/04/2023,21,0,21,21,21,0,0,0
10/04/2023,21,0,21,21,21,0,0,0
07/04/2023,21,0,21,21,21,0,0,0
06/04/2023,21,0,21,21,21,0,0,0
05/04/2023,21,0,21,21,21,0,0,0
04/04/2023,21,0,21,21,21,0,0,0
03/04/2023,21,0,21,21,21,0,0,0
31/03/2023,21,0,21,21,21,0,0,0
30/03/2023,21,0,21,21,21,0,0,0
29/03/2023,21,0,21,21,21,0,0,0
28/03/2023,21,0,21,21,21,0,0,0
27/03/2023,21,0,21,21,21,0,0,0
24/03/2023,21,0,21,21,21,0,0,0
23/03/2023,21,0,21,21,21,0,0,0
22/03/2023,21,0,21,21,21,0,0,0
21/03/2023,21,0,21,21,21,0,0,0
20/03/2023,21,0,21,21,21,0,0,0
17/03/2023,21,0,21,21,21,0,0,0
16/03/2023,21,0,21,21,21,0,0,0
15/03/2023,21,0,21,21,21,0,0,0
14/03/2023,21,0,21,21,21,0,0,0
13/03/2023,21,0,21,21,21,0,0,0
10/03/2023,21,0,21,21,21,0,0,0
09/03/2023,21,0,21,21,21,0,0,0
08/03/2023,21,0,21,21,21,0,0,0
07/03/2023,21,0,21,21,21,0,0,0
06/03/2023,21,0,21,21,21,0,0,0
03/03/2023,21,0,21,21,21,0,0,0
02/03/2023,21,0,21,21,21,0,0,0
01/03/2023,21,0,21,21,21,0,0,0
28/02/2023,21,0,21,21,21,0,0,0
27/02/2023,21,0,20.40,21,21,0,0,0
24/02/2023,20.40,"8,572",23.90,25,20.40,0,0,0
23/02/2023,23.90,0,23.90,23.90,23.90,0,0,0
22/02/2023,23.90,0,23.90,23.90,23.90,0,0,0
21/02/2023,23.90,0,23.90,23.90,23.90,0,0,0
20/02/2023,23.90,0,28.10,23.90,28.10,0,0,0
16/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
15/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
14/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
13/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
10/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
09/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
08/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
07/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
06/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
03/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
02/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
01/02/2023,28.10,0,28.10,28.10,28.10,0,0,0
31/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
30/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
27/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
19/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
18/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
17/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
16/01/2023,28.10,0,28.10,28.10,28.10,0,0,0
13/01/2023,28.10,100,27.10,28.10,28.10,0,0,0
12/01/2023,27.10,0,27.10,27.10,27.10,0,0,0
11/01/2023,27.10,0,27.10,27.10,27.10,0,0,0
10/01/2023,27.10,0,27.10,27.10,27.10,0,0,0
09/01/2023,27.10,0,27.10,27.10,27.10,0,0,0
06/01/2023,27.10,300,25.10,27.10,27.10,0,0,0
05/01/2023,25.10,0,25.10,25.10,25.10,0,0,0
04/01/2023,25.10,0,25.10,25.10,25.10,0,0,0
03/01/2023,25.10,0,25.10,25.10,25.10,0,0,0
30/12/2022,25.10,300,22,25.10,25,0,0,0
29/12/2022,22,0,22,22,22,0,0,0
28/12/2022,22,0,22,22,22,0,0,0
27/12/2022,22,0,22,22,22,0,0,0
26/12/2022,22,0,22,22,22,0,0,0
23/12/2022,22,124,19.70,22,22,0,0,0
22/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
21/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
20/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
19/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
16/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
15/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
14/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
13/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
12/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
09/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
08/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
07/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
06/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
05/12/2022,19.70,0,19.50,19.70,19.50,0,0,0
02/12/2022,19.50,12,19.70,19.70,19.70,0,0,0
01/12/2022,19.70,0,19.70,19.70,19.70,0,0,0
30/11/2022,19.70,0,19.70,19.70,19.70,0,0,0
29/11/2022,19.70,0,19.70,19.70,19.70,0,0,0
28/11/2022,19.70,0,19.50,19.70,19.50,0,0,0
25/11/2022,19.50,"1,084",19,21,19.50,0,0,0
24/11/2022,19,0,19,19,19,0,0,0
23/11/2022,19,0,19,19,19,0,0,0
22/11/2022,19,0,19,19,19,0,0,0
21/11/2022,19,0,19,19,19,0,0,0
18/11/2022,19,390,17,19,19,0,0,0
17/11/2022,17,0,17,17,17,0,0,0
16/11/2022,17,0,17,17,17,0,0,0
15/11/2022,17,0,17,17,17,0,0,0
14/11/2022,17,0,17,17,17,0,0,0
11/11/2022,17,112,16.60,17,17,0,0,0
10/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
09/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
08/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
07/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
04/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
03/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
02/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
01/11/2022,16.60,0,16.60,16.60,16.60,0,0,0
31/10/2022,16.60,0,15.70,16.60,15.70,0,0,0
28/10/2022,15.70,17,16.60,16.60,16.60,0,0,0
27/10/2022,16.60,0,16.60,16.60,16.60,0,0,0
26/10/2022,16.60,0,16.60,16.60,16.60,0,0,0
25/10/2022,16.60,0,16.60,16.60,16.60,0,0,0
24/10/2022,16.60,0,15.70,16.60,15.70,0,0,0
21/10/2022,15.70,300,18.40,18.40,15.70,0,0,0
20/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
19/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
18/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
17/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
14/10/2022,18.40,8,18.40,18.40,18.40,0,0,0
13/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
12/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
11/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
10/10/2022,18.40,0,18.40,18.40,18.40,0,0,0
07/10/2022,18.40,191,21.60,21.60,18.40,0,0,0
06/10/2022,21.60,0,21.60,21.60,21.60,0,0,0
05/10/2022,21.60,0,21.60,21.60,21.60,0,0,0
04/10/2022,21.60,0,21.60,21.60,21.60,0,0,0
03/10/2022,21.60,0,21.60,21.60,21.60,0,0,0
30/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
29/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
28/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
27/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
26/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
23/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
22/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
21/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
20/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
19/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
16/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
15/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
14/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
13/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
12/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
09/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
08/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
07/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
06/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
05/09/2022,21.60,0,21.60,21.60,21.60,0,0,0
31/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
30/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
29/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
26/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
25/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
24/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
23/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
22/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
19/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
18/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
17/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
16/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
15/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
12/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
11/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
10/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
09/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
08/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
05/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
04/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
03/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
02/08/2022,21.60,0,21.60,21.60,21.60,0,0,0
01/08/2022,21.60,0,21.30,21.60,21.60,0,0,0
29/07/2022,21.30,"2,600",25,28.70,21.30,0,0,0
28/07/2022,25,0,25,25,25,0,0,0
27/07/2022,25,0,25,25,25,0,0,0
26/07/2022,25,0,25,25,25,0,0,0
25/07/2022,25,0,25,25,25,0,0,0
22/07/2022,25,0,25,25,25,0,0,0
21/07/2022,25,0,25,25,25,0,0,0
20/07/2022,25,0,25,25,25,0,0,0
19/07/2022,25,0,25,25,25,0,0,0
18/07/2022,25,0,23.30,25,25,0,0,0
15/07/2022,23.30,200,23.30,26.70,23.30,0,0,0
14/07/2022,23.30,0,23.30,23.30,23.30,0,0,0
13/07/2022,23.30,0,23.30,23.30,23.30,0,0,0
12/07/2022,23.30,0,23.30,23.30,23.30,0,0,0
11/07/2022,23.30,0,23.30,23.30,23.30,0,0,0
08/07/2022,23.30,100,20.30,23.30,23.30,0,0,0
07/07/2022,20.30,0,20.30,20.30,20.30,0,0,0
06/07/2022,20.30,0,20.30,20.30,20.30,0,0,0
05/07/2022,20.30,0,20.30,20.30,20.30,0,0,0
04/07/2022,20.30,0,20.30,20.30,20.30,0,0,0
01/07/2022,20.30,0,20.30,20.30,20.30,0,0,0
30/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
29/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
28/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
27/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
24/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
23/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
22/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
21/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
20/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
17/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
16/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
15/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
14/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
13/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
10/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
09/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
08/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
07/06/2022,20.30,0,20.30,20.30,20.30,0,0,0
06/06/2022,20.30,0,19,20.30,19,0,0,0
03/06/2022,19,300,20,23,19,0,0,0
02/06/2022,20,0,20,20,20,0,0,0
01/06/2022,20,0,20,20,20,0,0,0
31/05/2022,20,0,20,20,20,0,0,0
30/05/2022,20,0,20,20,20,0,0,0
27/05/2022,20,0,20,20,20,0,0,0
26/05/2022,20,0,20,20,20,0,0,0
25/05/2022,20,0,20,20,20,0,0,0
24/05/2022,20,0,20,20,20,0,0,0
